Name,Category,Email,Phone,Address,District,Website
Tech Shop BD,Electronics Shops,info@techshopbd.com,09678110110,"Techshopbd, 2/1/E, Eden Center, Arambagh, Motijheel, Dhaka, Bangladesh, 1000, Dhaka GPO, Dhaka, 1000",Dhaka,https://techshopbd.com/
Galaxy Travel International,Travel Agencies,galaxytravelint01@gmail.com,01722222431,"2ND FLOOR, Taj Cassilina, 25 Gulshan Ave, , Gulshan, Dhaka, 1212",Dhaka,https://www.galaxybd.com/travel.php
Home Air Engineering Co Ltd,AC Repair & Services,N/A,01778839180,"1st Floor, Green Tower, DIT Rd, , Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Chaya Pest Control Shop,Pest Control Services,support@chayapestcontrol.com,01954920966,"House-7, Avenue 4, Block-C, Near Progoti High School, Mirpur, Dhaka, 1216",Dhaka,https://chayapestcontrol.com/
Shwapno General Hospital and Diagnostic Centre,Diagnostic Centers,omarfaruksghmd@gmail.com,01303221316,"Road-13,house-33, Rupnagar R/A, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216",Dhaka,https://www.hia.care/H/ShwapnoGeneralHospitalandDiagnosticCentre
Sam Online,Internet Providers,home@sambd.com,01714498118,"Rosy Dale -House:1Road:4 Gudaraghat, Dhaka 1212, Gulshan, Dhaka, 1212",Dhaka,https://sambd.com/
Unmesh,Coaching Centers,info@udvash-unmesh.com,01787687510,"12 Service Road, Dhaka 1230, Uttar Khan, Dhaka, 1230",Dhaka,https://www.unmeshbd.com/HomePage
Conspert Limited,Construction Companies,conspertltd@gmail.com,01886788890,"4th Floor (4B), House #189 Block #B, Main Road Dhaka, 1229, KhilkhetTSO, Dhaka, 1229",Dhaka,https://www.conspert.com/
Nabila,Tailoring & Boutiques,info@nabila-bd.com,01632132259,"Level 5, Elegant Square, Plot 3/B, Road 111, Gulshan Avenue (Opposite Azad Mosque), , Gulshan Model Town, Dhaka, 1212",Dhaka,http://www.nabila.com.bd/
Orchid Garden & Event Management,Event Management,orchidgarden2084@gmail.com,01882116777,"house#416, Road#30, Mohakhali DOHS, Dhaka, Bangladesh, 1206, Cantonment, Dhaka, 1206",Dhaka,N/A
Manarat International University,Universities,info@manarat.ac.bd,01780364415,"Plot # CEN-16, Rd 106, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://manarat.ac.bd/
TAJMAHAL GEMS WORLD,Jewelry Stores,tajmahalgems11@gmail.com,01711192111,"Tropical Alauddin Tower Shopping Complex, Shop 526-527, Level 4 Road 02, Sector 03, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Medallion Plus Furniture,Furniture Shops,medallionplusbd@gmail.com,01973016218,"20/10 East Dhanmondi, West Panthapath, Dhaka 1205, New Market, Dhaka, 1205",Dhaka,N/A
Masna Madrasa,Madrasas,N/A,01718182381,"Monirampur, Jessore, Mohammadpur, Dhaka, 1000",Dhaka,N/A
DHAKA COMMERCE COLLEGE,Colleges,N/A,N/A,N/A,N/A,N/A
Tinfo Property,Real Estate Agencies,hello@tinfoproperty.com,01871019999,"Plot: 19 and 20, Road: 113/A, Gulshan-02, Dhaka-1212, Bangladesh, Gulshan Model Town, Dhaka, 1212",Dhaka,https://tinfoproperty.com/
RDH Makeover & Skin Care Salon,Beauty & Salons,info@rdhmakeover.com,01816692115,"House-21, Road-02, Section-06 Block-D, Pallabi, Mirpur, Mirpur, Dhaka, 1216",Dhaka,https://coral-alpaca-767390.hostingersite.com/
Poshora,Plumbing Services,N/A,01321211939,"House#33 Rd Number 35/A, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://www.poshorabd.com/
Fitness plus,Gyms & Fitness,chief@fitnessplus.club,01317998899,"Level 5, House 7A Road No. 41, Dhaka, Gulshan Model Town, Dhaka, 1212",Dhaka,https://fitnessplus.club/
Maa Computer And CCTV Corner,IT & Computer Services,abdullah.ede.bd@gmail.com,01611936823,N/A,N/A,N/A
Pet Butler BD,Pet Shops,petbutlerbd@gmail.com,01877717094,"3-65, Road No. 4, Dhaka 1216, Pallabi, Dhaka, 1216",Dhaka,N/A
Dhaka Spa Center,Spa & Massage Centers,info@dhakaspa.center,01952017045,"House - 7a, Road No. 41, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://dhakaspa.center/
Swadesh Auto Ltd.,Auto Repair,swadeshcarsrvice@gmail.com,01612408992,"RC2F+CQW, Baridhara J Block, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Jeep Bangladesh,Car Showrooms,jeep@anwargroup.net,01841805337,"1, West Abdullahpur, Dhaka, Bangladesh, 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://www.jeep.com.bd/
Hongbao,Restaurants & Cafes,hongbao@dekkolegacy.com,01870111222,"1st floor, Suvastu Imam Square, 65 Gulshan Avenue, Road 28., , Gulshan Model Town, Dhaka, 1212",Dhaka,https://hongbaobd.com/
Print Express BD,Printing Services,hello@printexpressbd.com,01933445567,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,"""https://www.facebook.com/printexpressbd"""
Little Master International School,Schools,admin@lmischool.net,01715190994,"16, 1-A Rankin St, Dhaka 1203, Wari, Dhaka, 1203",Dhaka,https://lmischool.net/photo-gallery/
Equity Law Partners,Law Firms,equitylawbd@gmail.com,01789004411,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://equitylawbd.com/
Quics Car Service,Car Service Centers,info@toandfrobd.com,01768385618,"100 Feet Madani Ave, , KhilkhetTSO, Dhaka, 1229",Dhaka,N/A
Tank Clean Services,Cleaning Services,contact@tankcleanservices.com,01600357308,"255/1, ECB Chattar, Mirpur DOHS Road Dhaka Cantonment- 1206, Dhaka CantonmentTSO, Dhaka, 1206",Dhaka,https://tankcleanservices.com/
AYAN ELECTRONICS,Electronics Shops,zabil.ex@gmail.com,01766546690,"SHOP: 510, Police Plaza Concord, (Beside Shooting Complex), Gulshan-1, Dhaka, Bangladesh, 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Universal Travel & Tours,Travel Agencies,uttbdoffice@gmail.com,01844167590,"Level-07, Green Rowshanara Tower, 55 Satmasjid Road, , Dhanmondi, Dhaka, 1209",Dhaka,https://utt.com.bd/
COOL Service Center,AC Repair & Services,coolservicecenterbd@gmail.com,01730586468,"Mohammadpur, Dhaka City, Mohammadpur, Dhaka, 1207",Dhaka,N/A
All Cleaning & Pest Control Service,Pest Control Services,allcleaningpestclontrol@gmail.com,01934464051,"120 Kemal Ataturk Ave, Dhaka 1213, Banani TSO, Dhaka, 1213",Dhaka,N/A
"Delta Health Care, Mirpur Limited",Diagnostic Centers,info@deltahealthcare.com,01841914914,"11, Central Mosque, Bus Stand Mirpur, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
MiME Internet,Internet Providers,info.mime@cg-bd.com,09609006463,"Awal Centre, Level 15, 34, Kemal Ataturk Avenue, Banani C/A, Dhaka, Bangladesh, Banani, Dhaka, 1213",Dhaka,https://www.mimebd.com/
iONiQ Learning,Coaching Centers,zayedsirchemistry@gmail.com,01517117627,"house - 71, Academia, Road No. 12, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Altra Construction Chemical Company Ltd,Construction Companies,nfo@altrabd.com,01324449702,"15/2, Level-8, Mamtaz Heights, Mirpur Road, Shyamoli, Dhaka-1207 Bangladesh, Mohammadpur, Dhaka, 1207",Dhaka,https://www.altrabd.com/
𝐓𝐀𝐈𝐋𝐎𝐑 𝐅𝐈𝐓 - 𝙱𝚎𝚜𝚙𝚘𝚔𝚎,Tailoring & Boutiques,tailorfitbespoke@gmail.com,01934151916,"Block #K, Ground Floor, House #18 Rd 24, , Banani TSO, Dhaka, 1213",Dhaka,https://www.tailorfitbespoke.com/
Dreamweaver Events,Event Management,dreamweaver.sales@gmail.com,01711220921,"Zahirul Tower, House#9 Rd No 113/A, Dhaka 1212, Gulshan, Dhaka, 1212",Dhaka,https://dreamweaverevent.com/
Queens University,Universities,N/A,01712657152,"House 43E, Block E, Road No. 17/A, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
I.K Gold & Diamond,Jewelry Stores,ikdiamondltd@gmail.com,01789908326,"607, Grand Zam Zam Tower, 11 No. Chowrasta, Uttara, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Nadia Furniture,Furniture Shops,brand@nadiafurniture.com,01871006851,"House No. 38/1, Road No. 2, Dhanmondi, Dhaka- 1205, Opposite of Shimanto Square, Dhaka, Bangladesh 1205, Dhanmondi, Dhaka, 1209",Dhaka,https://www.nadiafurniture.com/
Madrasatul Madinah Lilbanat,Madrasas,N/A,01765757574,"P8JF+QW7, Nahar Community center(modhu city, Banglanagar, Mohammadpur, Dhaka, 1312",Dhaka,N/A
Japan International Dream School & College,Colleges,N/A,01762083119,N/A,N/A,N/A
Century Group,Real Estate Agencies,N/A,01915476605,"Kha-225, Pragoti sarani, Bir Uttam Rafiqul Islam Avenue, Dhaka, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Romoni Services Ltd.,Beauty & Salons,info@romoni.com.bd,01905406386,"House# 1266, Road# 10, Ave# 02, Mirpur DOHS, Mirpur, Dhaka, 1216",Dhaka,https://www.romoni.com.bd/
Millat Pumps Limited,Plumbing Services,infomillatpump@gmail.com,01819603147,"amin Apon Heights, Level-13/A, Road# 03, Shymoli, Dhaka, Mohammadpur, Dhaka, 1207",Dhaka,https://millatpump.com/
Gold's Gym Bangladesh,Gyms & Fitness,info@goldsgym.com.bd,01969900555,"Block N Bashundhara Sports City, Dhaka, KhilkhetTSO, Dhaka, 1229",Dhaka,N/A
Md Faruk Khan,IT & Computer Services,hello@mdfarukkhan.com,01708590337,"123/A Mohammadia Houusing Ltd Road 7, Mohammadpur, Dhaka, 1207",Dhaka,N/A
Multi Auto Care Workshop,Auto Repair,multiautocareworkshop@gmail.com,01757683035,"18,Shed- 01, RC3G+P5H, Road, Plot- 02 Baridhara J Block, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Dynasty Cars,Car Showrooms,carsdynasty@gmail.com,01785545532,"343/344, Tejgaon I/A, Tejgaon, (Impluse Hospital Road, Opposite Impluse Hospital), Dhaka, Bangladesh, 1208, Dhaka Politechnic, Dhaka, 1208",Dhaka,N/A
OBOR Restaurant - 丝路驿站中餐厅,Restaurants & Cafes,reobor1@gmail.com,01700703756,"Level 6, Anannya Shopping Complex, Dhaka CantonmentTSO, Dhaka, 1206",Dhaka,N/A
Seba Printing & Packaging,Printing Services,printingsebabd@gmail.com,01811223344,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://www.facebook.com/PrintingSeba/#
Eminent School of Dhaka,Schools,eminentschooldhaka@gmail.com,01534833921,"3 Wyre Street, Dhaka 1203, Wari, Dhaka, 1203",Dhaka,https://eminentschool.com/
LegalNet Bangladesh,Law Firms,info@legalnetbd.com,01712159571,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://www.facebook.com/legalnetbd
bhalogari,Car Service Centers,info@bhalogari.com,09643207777,"Civil house, B- 111 Mosque Rd, Dhaka, Dhaka CantonmentTSO, Dhaka, 1206",Dhaka,https://bhalogari.com/
Clean Force Limited,Cleaning Services,cleanforce.xyz@gmail.com,01734723422,"House 13, Road -1/a, Block-B, Dhaka 1207, Mohammadpur, Dhaka, 1207",Dhaka,N/A
Orient Electronics,Electronics Shops,info@orient-electronics.com,01672231185,"Shop: 424, Level: 4, Plaza A.R, Dhaka 1205, New Market TSO, Dhaka, 1205",Dhaka,N/A
FlyTrek,Travel Agencies,info.flytrek@gmail.com,01616124565,"House: 26, Road: 24, Sector: 07, Uttara, (Beside Super Hostel), , Uttara Purba, Dhaka, 1230",Dhaka,https://flytrek.net/
AC Service Dhanmondi,AC Repair & Services,acservicedhanmondi@gmail.com,01760126623,"61/5, Dhaka, Mohammadpur, Dhaka, 1207",Dhaka,N/A
Ma Aysha Pest Control,Pest Control Services,Maayshap@gmail.com,01726983899,"Ka-23/1, shahjadpur, Vatara, Gulshan - 02, Dhaka, Bangladesh, Gulshan Model Town, Dhaka, 1212",Dhaka,https://maayshapestcontrolbd.com/
Medinet Medical Services,Diagnostic Centers,medinetmedicalservices@gmail.com,01705458900,"Plot- 1,2,3, BNSB Bhaban, Mirpur-1, Dhaka-1216., Mirpur, Dhaka, 1216",Dhaka,https://medinetbd.com/
BAS Network,Internet Providers,basnetbd.net@gmail.com,01406255300,"4E/A, 4th Floor, Hadi Plaza, Mazar Rd, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,https://basnetbd.com/
NextU,Coaching Centers,nextu.dmd@gmail.com,01534849510,"Rd Number 11, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
A2 Construction,Construction Companies,N/A,01775854654,"127, Road-01, Avenue-01, Mirpur-12, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Faabrico,Tailoring & Boutiques,faabrico.tailor@gmail.com,01714793555,"5th Floor, Lake Manor, House 9 Rd 35, , Gulshan Model Town, Dhaka, 1212",Dhaka,https://faabrico.com.bd/
Loft Events,Event Management,eventsbdloft@gmail.com,01962821100,"Plot 22, 23 Mirpur Ceramic Rd, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Fareast International University,Universities,info@fiu.edu.bd,01986810710,"House # 87, Road # 06 ব্লক # সি, Dhaka 1213, Banani TSO, Dhaka, 1213",Dhaka,https://fiu.edu.bd/about-us/
Gems Gallery,Jewelry Stores,info@gemsgallery.com.bd,01841712060,"Q94F+66Q, Road No. 16, Dhaka 1205, New Market TSO, Dhaka, 1205",Dhaka,N/A
Crafting timeless designs with trusted quality,Furniture Shops,info@brothersfurniture.com.bd,01926680844,"Ambala Complex, 39 Road No. 2, Dhaka 1205, New Market, Dhaka, 1205",Dhaka,N/A
Jamiatul Abrar Rahmania Madrasa,Madrasas,N/A,01961228557,"Q922+G3F, Road No-04, Swapnodhara Housing, Bosila Road,, Mohammadpur, Dhaka, 1207",Dhaka,N/A
"New Govt. Degree College, Rajshahi",Colleges,N/A,01711905969,N/A,N/A,N/A
GNTA Properties Ltd,Real Estate Agencies,N/A,01790875917,"House 14, Road 137, Gulshan 1, Dhaka, Bangladesh, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Montresor Beauty Lounge,Beauty & Salons,montresor.bd@gmail.com,01713099899,"Sima Blossom (Ground Floor), House # 03, Road # 16 (New) 27 (Old), Dhanmondi R/A, Dhanmondi, Dhaka, 1209",Dhaka,https://montresorbd.com/
Power Fix Ltd,Plumbing Services,admin@powerfixlrd.com,01710965725,"House 38 Road-06, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Rayo Fitness,Gyms & Fitness,admin@rayo.fitness,01711996444,"7th Floor, Rajanighanda Complex, 66 Green Road, Signal, Panthapath, Dhaka, New Market TSO, Dhaka, 1205",Dhaka,https://www.rayo.fitness/
Khan IT,IT & Computer Services,admin@khanit.com.bd,01404282727,"Mohammadpur, Dhaka, Mohammadpur, Dhaka,, Mohammadpur, Dhaka, 1207",Dhaka,https://www.khanit.com.bd
ADC Automobiles,Auto Repair,info@adcautomobiles.com,01716346067,"Kha-198, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://www.adcautomobiles.com/#
Alif Motors,Car Showrooms,info@alifmotors.com,01317774455,"150C Tejgaon C/A Dhaka-1208, Tejgaon, Bangladesh, Dhaka Politechnic, Dhaka, 1208",Dhaka,N/A
Chillox,Restaurants & Cafes,chillox.burgers@gmail.com,01704194484,"Level 2, AMM Center, Road 3A, Dhanmondi 1209 (Near Jigatola Bus Stand, Beside Japan Friendship Hospital), Dhanmondi, Dhaka, 1209",Dhaka,https://chillox.engaze.ai/
Projonmo Printing Press,Printing Services,info@projonmoprinting.com,01712334455,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,"""https://www.facebook.com/projonmoprinting"""
Juvenile English Medium School,Schools,moin_3227@yahoo.com,01819285002,"Road No. 8, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,http://juvenile.school/
Barrister’s Chamber Bangladesh,Law Firms,info@barristerschamber.com,01613554433,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://www.facebook.com/barristerschamber
Car City Dhaka,Car Service Centers,carcitydhaka@gmail.com,01969522223,"100 Feet Road, Natun Bazar, Vatara,Plot#7 Road#16, , Gulshan Model Town, Dhaka, 1212",Dhaka,https://carcitydhaka.com/
Cleaning Gram,Cleaning Services,info@dhakacleaner.com,01777053126,"dhaka, Gulshan Model Town, Dhaka, 1212",Dhaka,https://cleaninggram.com/bd/
Alphanso Amps BD,Electronics Shops,support@alphansoamps.com,01812878787,"Shop : 30/31, 4th Floor, Shah Ali Plaza, Mirpur 10 Mirpur, Dhaka, 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
AAJ Travels,Travel Agencies,info@aajtravelsbd.com,01711907262,"KA-1/1 (1st Floor), Jagannathpur, Bashundhara Rd, , Khilkhet, Dhaka, 1229",Dhaka,https://aajtravelsbd.com/
Ac Servicing Center BD,AC Repair & Services,acservicingcenterbd@gmail.com,01953531166,"House-18/1, Road-02 Block #C, Dhaka, Mohammadpur, Dhaka, 1207",Dhaka,N/A
Pest N clean,Pest Control Services,pestncleanservices@gmail.com,01714111889,"69/A, MIDDLE PIRERBAG, OPPOSITE OF PAKA MASJID, 60 FEET ROAD, MIRPUR DHAKA 1216, DHAKA, BANGLADESH, Mirpur, Dhaka, 1216",Dhaka,https://www.pestnclean.net/
New Peacy Lab Ltd. Diagnostic Centre,Diagnostic Centers,peacylab@gmail.com,01929349099,"3rd Floor), 2-A, Apex Bhaban, 1 Darus Salam Rd, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,https://newpeacylab.com/
Antaranga Dot Com Ltd.,Internet Providers,info@antbd.com,09666121131,"24/1, Shan Tower (3rd floor), Chamelibagh, Shantinagar, Palton, Dhaka, Bangladesh, 1217, Paltan, Dhaka, 1217",Dhaka,https://antbd.com/
British American Resource Center,Coaching Centers,mail2barc@yahoo.com,01617302012,"Level-3, House: 14-16, Khan Tower, 12 Sonargaon Janapath Rd, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://hellobarc.com/
K & B Construction Ltd,Construction Companies,knbabout@gmail.com,01896092691,"125/1 (2nd Floor), Begum Rokeya Sarani, Mirpur-10, Dhaka-1216, Bangladesh, Mirpur, Dhaka, 1216",Dhaka,https://knbbd.com/
Roshni Boutiques,Tailoring & Boutiques,roshniboutiquesbd@gmail.com,01727636053,"25/1, Tollabag, Sher-E-Bangla Road, Rayer Bazar, Dhaka, Dhanmondi, Dhaka, 1209",Dhaka,N/A
BlueBird International and Event Management,Event Management,bluebirdeventbd@gmail.com,01603718485,"Shagupta, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Royal University of Dhaka,Universities,info@royal.edu.bd,01332544317,"House# 2 Rd 10, Dhaka 1213, Banani TSO, Dhaka, 1213",Dhaka,https://www.royal.edu.bd/
Arabians Gold,Jewelry Stores,arabiansgoldjewelry@gmail.com,01734698466,"Shop-118, 1st Floor, Shimanto Square, Dhanmondi B G.B Gate, Dhaka 1205, New Market TSO, Dhaka, 1205",Dhaka,N/A
Hi-Fashion Gallery Ltd.,Furniture Shops,sales@deengroupbd.com,01847158437,"Sha Sha Bari, House# 56, Road#, 3/A Satmasjid Road, Dhaka 1209, Dhanmondi, Dhaka, 1209",Dhaka,http://www.hifashiongallery.com/
Jameul Uloom Madrasah,Madrasas,N/A,01715015300,"mirpur 14, , Mirpur, Dhaka, 1207",Dhaka,N/A
"Govt. Hazi Muhammad Mohsin College, Chittagong",Colleges,N/A,01559065001,N/A,N/A,N/A
Sharif Properties Service,Real Estate Agencies,N/A,01636333333,"Block-L, House-3 Rd No. 2/2, Dhaka, Banani TSO, Dhaka, 1213",Dhaka,N/A
Dream's Beauty Parlour & Fitness Club,Beauty & Salons,dreamsdhanmondi333@gmail.com,01713429741,"House:33, Road:01, Dhanmondi, New Market TSO, Dhaka, 1205",Dhaka,https://sites.google.com/view/dreamsbeauty
Fixora BD,Plumbing Services,contact@fixorabd.com,01624211412,"Road-2, Mirpur - 2, Dhaka - 1216, Bangladesh, Mirpur, Dhaka, 1216",Dhaka,https://fixorabd.com/plumber-service/
Unique Lifestyle Gym & Fitness,Gyms & Fitness,farhanhabib908@gmail.com,01750024312,"196/8, Dhaka, Shantinagr TSO, Dhaka, 1217",Dhaka,https://www.uniquelifestylegym.fit
BASCO AUTO SOLUTION,Auto Repair,bascobd@gmail.com,01733077657,"343 Cocacola Road, Naya Nagar Rd, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
JB Auto,Car Showrooms,N/A,01722911208,"45 Kazi Nazrul Islam Avenue, Dhaka, Bangladesh, Tejgaon TSO, Dhaka, 1215",Dhaka,https://jbautobd.com/
LE MERIDIEN DHAKA,Restaurants & Cafes,lemeridiendhaka1229@gmail.com,09638900089,"79/A Commercial Area, Airport Road, Nikunja 2, Khilkhet, KhilkhetTSO, Dhaka, 1229",Dhaka,https://www.marriott.com/en-us/hotels/dacmd-le-meridien-dhaka/dining/
Royal Printing Press,Printing Services,info@royalprintingpress.com,01719223344,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://royalprintingpress.com/?utm_source=copilot.com
Mirpur English Version School and College,Schools,mirpurenglishversionschool@gmail.com,01678850500,"House # 08, Road # 11/2, Block # B, Section # 10, Mirpur, Dhaka, Mirpur, Dhaka, 1216",Dhaka,http://www.mirpurenglishversionschoolandcollege.org/
Law Valley,Law Firms,lawvalley@gmail.com,01915964722,"45, Suite No. 11A, 11th Floor, Saiham Sky View Tower, 45 Bijoy Nagar Road, Dhaka 1000, Dhaka GPO, Dhaka, 1000",Dhaka,N/A
eGarage bangladesh,Car Service Centers,support@egaragebd.com,01312202050,"345 Bijoy Sarani - Tejgaon Link Rd, Dhaka Politechnic, Dhaka, 1208",Dhaka,N/A
MBM-Munshi Bangladesh Limited,Cleaning Services,cleaning@munshicorp.com,01979522500,"415 (AP House), Nayanagar, Cocacola Rd, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,http://www.mbmmunshibd.com/
Chowdhury Electronics,Electronics Shops,chowdhuryelectronicsbd@gmail.com,01611646464,"Shop- 40-42, Plot- 89, 1st Floor, Syed Grand Centre, Sector- 7, Uttara C/A, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://www.chowdhuryelectronics.com/
Travelley,Travel Agencies,info@travelley.net,01704644222,"Cha 90/A, Pragatisharani, BTI Premier Shopping Mall, 21-24/C, Level-3, , Gulshan, Dhaka, 1212",Dhaka,https://travelley.net/
Poppy - AC Service & Repair Center Bashundhara,AC Repair & Services,poppyacservice@gmail.com,01700912596,"House 166, 167 Road No 1, Dhaka, KhilkhetTSO, Dhaka, 1229",Dhaka,N/A
Jahan Pest Control Service,Pest Control Services,N/A,01717958596,"Kha/55/A(2nd Floor), Bashtola Masjid Road, Shahjadpur,, Gulshan Model Town, Dhaka, 1212",Dhaka,http://jahanpestcontrolbd.com
Thyroid Care & Diagnostic Centre,Diagnostic Centers,tcdc.query@gmail.com,01701660790,"Rupyan Latifa Shamsuddin Square, Plot No : 03 (8th Floor), Road No : 01, Block : G, Section : 01, Mirpur : 01,, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216",Dhaka,https://tcdcbd.com/
Telnet Communication Ltd.,Internet Providers,sales@telnet.com.bd,01713488999,"Takia Center. (8th Floor & 9th Floor) House:39, Sonargaon Janapath Road Sector- 07, Uttara, Sonargaon Janapath Rd, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,http://telnet.com.bd/
Gradient Education,Coaching Centers,gradientuttara03@gmail.com,01714077039,"2nd Floor, House-38 Road-08, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
DIENCO LIMITED,Construction Companies,diencoltd@yahoo.com,01912800269,"Suite-4A, Nakshi Home, 6/1/A Topkhana Road, Segunbagicha,Dhaka-1000, Dhaka GPO, Dhaka, 1000",Dhaka,http://diencobd.com/#
Jubilation - Fine Artisanal Garments,Tailoring & Boutiques,Info@thejubilation.com,01326883863,"Shop 53 (Level 3, 43 Felani Ave, Dhaka, Gulshan Model Town, Dhaka, 1212",Dhaka,https://www.thejubilation.com/
Banani Decorator & Event Management LTD.,Event Management,www.bananidecorator@gmail.com,01711200440,"H 79, 1 New Airport Road, Dhaka 1212, Gulshan, Dhaka, 1212",Dhaka,N/A
University of South Asia,Universities,admission@southasiauni.ac.bd,01686265125,"House 76 & 78, Rd No # 14, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://www.southasiauni.ac.bd/
Kristi Gold Plated Jewellery,Jewelry Stores,kristigpj2023@gmail.com,01928908804,"Shop No: 231, House No: 1, Metro Shopping Mall, Road No: 12(New), Dhanmondi, Dhaka 1209, Dhanmondi, Dhaka, 1209",Dhaka,N/A
BD Furniture,Furniture Shops,bdfurnitureinfo@gmail.com,01678210201,"fakhrul habib Ave, Dhaka, Banani, Dhaka, 1213",Dhaka,N/A
Jamia Rahmania Arabia Dhaka,Madrasas,N/A,N/A,"Sat Masjid Road, Mohammadpur,, Mohammadpur, Dhaka, 1207",Dhaka,N/A
Holy Cross College,Colleges,N/A,N/A,N/A,N/A,N/A
Property Choice,Real Estate Agencies,N/A,01944400001,"House 13/A Road 83, Dhaka, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
VitaSkin,Beauty & Salons,booking@vitaskinclinic.com,01828336507,"Delvistaa Fuljhuri (level: 9), 59 (new), Satmasjid Road, Dhanmondi, Dhanmondi, Dhaka, 1209",Dhaka,https://www.vitaskinclinic.com/
Saifa Plumbing,Plumbing Services,saifaplumbing2010@gmail.com,01922566666,"House No-01, Road No-1, Block-D, Dhaka Udyan, Mohammadpur, 1207, Dhaka, Mohammadpur, Dhaka, 1207",Dhaka,https://saifaplumbingbd.com
Inspire Fitness by Sohel Taj,Gyms & Fitness,inspirefitnessbysoheltaj@gmail.com,01755576443,"51 Satmasjid Road, Dhaka, Dhanmondi, Dhaka, 1209",Dhaka,https://inspirefitnessbd.net/
Motor Diagnosis and Treatment LTD -MDTL,Auto Repair,zillur@mdtlbd.com,01613356602,"Ka67-68, progoti Sharani, Norda, 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://mdtlbd.com/
Buraq Cars,Car Showrooms,info@buraqcars.com,01883888875,"Ka-96, Kuril Biswa Road, Paragati Saroni., Dhaka, Bangladesh, KhilkhetTSO, Dhaka, 1229",Dhaka,https://www.buraqcars.com/
Alfresco,Restaurants & Cafes,khilgaonalfresco@gmail.com,01335100521,"11 level 9 84, Skylark Building, plot no Road No. 11,, Banani TSO, Dhaka, 1213",Dhaka,N/A
Print World Bangladesh,Printing Services,support@printworldbd.com,01933445566,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://printworldbd.com/?utm_source=copilot.com
Cherry Blossoms International School & College,Schools,cherryblossomsint@gmail.com,01730073860,"Block - A, House - 7 Road No. 4, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Kazi Law Chamber,Law Firms,kazilawchamber95@gmail.com,01748848487,"12th Floor, Meherba Plaza, 33 Topkhana Road, Dhaka 1000, Dhaka GPO, Dhaka, 1000",Dhaka,N/A
Auto Scan Center,Car Service Centers,smayeen100@gmail.com,01670204929,"18 No. Road Baridhara J Block, , Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
